Time,Source,Destination,Protocol,Length,Info
8.875,81.131.67.131,68.62.236.42,UDP,50,41730  >  28101 Len=8
19.543946,81.106.187.198,81.131.67.131,UDP,61,15644  >  41730 Len=19
58.392578,81.131.67.131,83.116.155.57,UDP,61,41730  >  6346 Len=19
23.892578,81.131.67.131,212.87.122.210,UDP,61,41730  >  6346 Len=19
7.391602,81.131.67.131,212.194.202.220,UDP,61,41730  >  6346 Len=19
6.65625,81.131.67.131,59.190.36.108,UDP,61,41730  >  6346 Len=19
5.365031,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
7.445313,81.131.67.131,38.115.4.204,UDP,54,41730  >  21284 Len=12
45.290039,81.131.67.131,82.37.226.84,UDP,50,41730  >  6346 Len=8
15.064453,81.131.67.131,38.115.4.204,UDP,54,41730  >  21284 Len=12
0.125,81.131.67.131,172.177.184.179,UDP,61,41730  >  6346 Len=19
5.897351,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
12.40625,71.112.28.202,81.131.67.131,UDP,61,6346  >  41730 Len=19
0.109375,81.131.67.131,83.132.177.64,UDP,61,41730  >  6346 Len=19
40.878392,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,54702  >  3702 Len=624
103.15891,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,53620  >  3702 Len=624
0.328125,212.195.108.125,81.131.67.131,UDP,50,6346  >  41730 Len=8
868.470927,192.168.137.1,255.255.255.255,UDP,56,64967  >  3289 Len=14
18.485352,81.131.67.131,211.31.4.111,UDP,343,41730  >  39489 Len=301
19.485348,192.168.2.6,224.0.1.129,UDP,86,42319  >  42319 Len=44
34.532227,81.131.67.131,82.42.241.166,UDP,355,41730  >  31391 Len=313
9.703125,81.131.67.131,69.11.56.178,UDP,50,41730  >  6346 Len=8
35.563477,81.131.67.131,84.97.114.126,UDP,61,41730  >  6347 Len=19
23.955078,81.131.67.131,24.109.212.31,UDP,61,41730  >  6346 Len=19
95.641341,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,53616  >  3702 Len=624
39.828125,81.131.67.131,84.27.15.106,UDP,61,41730  >  6346 Len=19
39.90625,81.131.67.131,139.168.32.121,UDP,61,41730  >  6346 Len=19
5.091589,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
16.51611,192.168.2.6,224.0.1.129,UDP,86,42319  >  42319 Len=44
5.22464,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
6.533996,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
8.740081,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
2.570489,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
20.500977,81.131.67.131,68.6.198.57,UDP,61,41730  >  6347 Len=19
9.03125,81.131.67.131,216.12.80.10,UDP,71,6348  >  6348 Len=29
111.617703,192.168.137.147,239.255.255.250,UDP,666,53621  >  3702 Len=624
20.595703,81.131.67.131,85.96.110.115,UDP,61,41730  >  6346 Len=19
50.734375,81.131.67.131,219.149.233.209,UDP,61,41730  >  6346 Len=19
45.393555,81.131.67.131,65.30.55.121,UDP,50,41730  >  6346 Len=8
19.59668,81.131.67.131,200.43.70.60,UDP,61,41730  >  6346 Len=19
16.407227,81.131.67.131,83.237.44.108,UDP,61,41730  >  6346 Len=19
28.048828,81.131.67.131,62.195.221.46,UDP,550,41730  >  6346 Len=508
31.388672,81.131.67.131,151.37.67.40,UDP,61,41730  >  6346 Len=19
37.845703,81.131.67.131,82.42.241.166,UDP,550,41730  >  31391 Len=508
2.109375,38.115.4.204,81.131.67.131,UDP,54,21284  >  41730 Len=12
4.55252,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
24.518555,81.131.67.131,82.92.21.6,UDP,61,41730  >  6346 Len=19
82.581967,192.168.137.147,239.255.255.250,UDP,666,58320  >  3702 Len=624
3.40625,81.131.67.131,83.203.140.221,UDP,61,41730  >  6346 Len=19
44.979359,192.168.137.147,239.255.255.250,UDP,666,60946  >  3702 Len=624
46.375977,81.131.67.131,62.205.109.173,UDP,61,41730  >  6346 Len=19
0.8125,81.131.67.131,172.186.173.245,UDP,61,41730  >  6346 Len=19
18.657227,24.11.146.28,81.131.67.131,UDP,54,17342  >  41730 Len=12
39.9375,81.131.67.131,81.106.187.198,UDP,50,41730  >  15669 Len=8
1706.869943,192.168.137.1,255.255.255.255,UDP,56,56166  >  3289 Len=14
2.160875,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
16.844727,81.131.67.131,216.90.136.40,UDP,50,41730  >  33447 Len=8
35.954102,149.156.74.157,81.131.67.131,UDP,50,6347  >  41730 Len=8
20.422852,81.131.67.131,62.167.89.152,UDP,61,41730  >  6346 Len=19
0.501662,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
39.890625,81.131.67.131,219.137.42.1,UDP,61,41730  >  6346 Len=19
53.922852,81.131.67.131,84.248.196.113,UDP,61,41730  >  6346 Len=19
57.626953,81.131.67.131,24.82.216.237,UDP,50,41730  >  6346 Len=8
457.748754,192.168.137.1,255.255.255.255,UDP,56,60346  >  3289 Len=14
26.955078,81.131.67.131,207.216.13.37,UDP,61,41730  >  6346 Len=19
22.720703,81.131.67.131,82.10.189.102,UDP,61,41730  >  6346 Len=19
3.359375,81.131.67.131,81.244.90.24,UDP,61,41730  >  6346 Len=19
23.955078,81.131.67.131,24.11.146.28,UDP,54,41730  >  17342 Len=12
1.973371,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
16.671875,83.117.2.56,81.131.67.131,UDP,50,2424  >  41730 Len=8
16.125977,65.30.55.121,81.131.67.131,UDP,54,6346  >  41730 Len=12
9.104391,192.168.2.6,224.0.0.107,UDP,96,42319  >  42319 Len=54
50.71875,81.131.67.131,151.37.67.40,UDP,61,41730  >  6346 Len=19
73.58725,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,52892  >  3702 Len=624
6.577941,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
107.181789,192.168.137.147,239.255.255.250,UDP,666,53619  >  3702 Len=624
20.658203,81.131.67.131,84.27.15.106,UDP,61,41730  >  6346 Len=19
16.391602,81.131.67.131,24.45.35.228,UDP,61,41730  >  6346 Len=19
19.422852,81.131.67.131,172.186.173.245,UDP,61,41730  >  6346 Len=19
18.219727,81.131.67.131,69.4.150.232,UDP,61,41730  >  6346 Len=19
5.541993,193.251.185.169,81.131.67.131,UDP,50,6346  >  41730 Len=8
16.500977,81.131.67.131,82.41.137.36,UDP,61,41730  >  6346 Len=19
367.01941,192.168.18.83,192.168.18.255,UDP,82,57621  >  57621 Len=40
55.25586,81.131.67.131,207.216.13.37,UDP,61,41730  >  6346 Len=19
52.681354,fe80::a8f9:bf90:88d5:7c62,ff02::c,UDP,686,51064  >  3702 Len=624
23.908203,81.131.67.131,213.118.155.13,UDP,61,41730  >  6346 Len=19
7.70199,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
8.408203,81.131.67.131,68.186.167.166,UDP,550,41730  >  13778 Len=508
23.017578,61.87.54.192,81.131.67.131,UDP,61,6346  >  41730 Len=19
0.410836,193.63.53.155,224.1.2.3,UDP,1482,1976  >  6003 Len=1440
52.807447,192.168.137.147,239.255.255.250,UDP,666,51063  >  3702 Len=624
14.048828,81.131.67.131,83.117.2.56,UDP,77,41730  >  2424 Len=35
10.90625,81.131.67.131,210.23.168.206,UDP,550,41730  >  4014 Len=508
36.888835,192.168.137.1,255.255.255.255,UDP,56,50216  >  3289 Len=14
