Time,Source,Destination,Protocol,Length,Info
72.454701,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
60.36692,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
29.183731,127.0.0.1,127.0.0.1,FTP,65,Request: DELE hssoqlyafg.txt
76.488327,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
69.431971,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
35.205645,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
2.009747,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
65.400375,127.0.0.1,127.0.0.1,FTP,52,Request: TYPE A
21.140795,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
65.402756,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
44.266406,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
80.539532,127.0.0.1,127.0.0.1,FTP,70,Response: 200 Type set to: Binary.
29.179334,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
21.136431,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
45.262696,2002:5183:4383::5183:4383,2001:638:902:1:201:2ff:fee2:7596,FTP,147,Request: RETR /pub/ftp.zebra.org/pub/zebra/zebra-0.95.tar.gz
43.16211,2002:5183:4383::5183:4383,2001:638:902:1:201:2ff:fee2:7596,FTP,147,Request: SIZE /pub/ftp.zebra.org/pub/zebra/zebra-0.95.tar.gz
67.408968,127.0.0.1,127.0.0.1,FTP,52,Request: TYPE A
50.30341,127.0.0.1,127.0.0.1,FTP,70,Response: 200 Type set to: Binary.
52.31228,127.0.0.1,127.0.0.1,FTP,91,"Response: 227 Entering passive mode (127,0,0,1,205,64)."
43.256914,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
11.05105,127.0.0.1,127.0.0.1,FTP,63,Response: 250 File removed.
7.03098,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
53.32546,127.0.0.1,127.0.0.1,FTP,70,Response: 200 Type set to: Binary.
60.377665,127.0.0.1,127.0.0.1,FTP,65,Request: STOR jwvtdwwhap.txt
7.032811,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
72.455097,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
62.38537,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
41.248748,127.0.0.1,127.0.0.1,FTP,65,Request: DELE teqzdpcfhe.txt
24.15051,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,203,228)."
29.179703,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
58.361347,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
15.809571,2001:638:902:1:201:2ff:fee2:7596,2002:5183:4383::5183:4383,FTP,142,"Response: 230 Guest login ok, access restrictions apply."
3.013236,127.0.0.1,127.0.0.1,FTP,65,Request: STOR lrhgkhtcxs.txt
21.138154,127.0.0.1,127.0.0.1,FTP,70,Response: 200 Type set to: Binary.
45.274435,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
31.188565,127.0.0.1,127.0.0.1,FTP,91,"Response: 227 Entering passive mode (127,0,0,1,204,58)."
35.215915,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
11.044008,127.0.0.1,127.0.0.1,FTP,91,"Response: 227 Entering passive mode (127,0,0,1,203,62)."
17.104107,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
60.379991,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
77.517725,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,206,127)."
44.260664,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,204,219)."
74.472941,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
36.313477,2002:5183:4383::5183:4383,2001:638:902:1:201:2ff:fee2:7596,FTP,102,Request: TYPE I
7.034667,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
19.950196,2002:5183:4383::5183:4383,2001:638:902:1:201:2ff:fee2:7596,FTP,105,Request: site help
71.434517,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
21.130416,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
37.22644,127.0.0.1,127.0.0.1,FTP,65,Request: DELE gzufviwbeo.txt
75.482625,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
67.411931,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
13.058582,127.0.0.1,127.0.0.1,FTP,69,Response: 200 Type set to: ASCII.
27.163993,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
29.182929,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
41.171875,2002:5183:4383::5183:4383,2001:638:902:1:201:2ff:fee2:7596,FTP,156,"Request: LPRT 6,16,32,2,81,131,67,131,0,0,0,0,0,0,81,131,67,131,2,4,8"
3.015171,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
41.250062,127.0.0.1,127.0.0.1,FTP,63,Response: 250 File removed.
60.364543,127.0.0.1,127.0.0.1,FTP,69,Response: 200 Type set to: ASCII.
29.176577,127.0.0.1,127.0.0.1,FTP,52,Request: TYPE A
35.21632,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,204,111)."
7.032053,127.0.0.1,127.0.0.1,FTP,91,"Response: 227 Entering passive mode (127,0,0,1,203,18)."
69.426548,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
37.220478,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,204,133)."
71.436317,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
50.291862,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
74.47618,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
55.330768,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,205,101)."
41.246244,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
23.145404,127.0.0.1,127.0.0.1,FTP,65,Request: STOR gzufviwbeo.txt
53.325906,127.0.0.1,127.0.0.1,FTP,91,"Response: 227 Entering passive mode (127,0,0,1,205,80)."
52.312864,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
73.465734,127.0.0.1,127.0.0.1,FTP,70,Response: 200 Type set to: Binary.
50.304,127.0.0.1,127.0.0.1,FTP,91,"Response: 227 Entering passive mode (127,0,0,1,205,41)."
71.436666,127.0.0.1,127.0.0.1,FTP,69,Response: 200 Type set to: ASCII.
76.492689,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
50.301627,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
29.180099,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
58.359143,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,205,127)."
50.297704,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
21.133577,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
47.284758,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
73.469525,127.0.0.1,127.0.0.1,FTP,68,Response: 226 Transfer complete.
18.028321,2001:638:902:1:201:2ff:fee2:7596,2002:5183:4383::5183:4383,FTP,123,Response: 502 Unknown command 'utf8'.
21.125785,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,203,192)."
14.078286,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,203,106)."
71.433332,127.0.0.1,127.0.0.1,FTP,69,Response: 200 Type set to: ASCII.
43.255676,127.0.0.1,127.0.0.1,FTP,50,Request: NLST
11.046723,127.0.0.1,127.0.0.1,FTP,52,Request: TYPE A
17.104508,127.0.0.1,127.0.0.1,FTP,92,"Response: 227 Entering passive mode (127,0,0,1,203,145)."
41.241163,127.0.0.1,127.0.0.1,FTP,69,Response: 200 Type set to: ASCII.
62.383559,127.0.0.1,127.0.0.1,FTP,65,Request: STOR rarcdwrpbv.txt
37.223072,127.0.0.1,127.0.0.1,FTP,69,Response: 200 Type set to: ASCII.
45.27631,127.0.0.1,127.0.0.1,FTP,98,Response: 125 Data connection already open. Transfer starting.
72.44856,127.0.0.1,127.0.0.1,FTP,52,Request: TYPE A
52.30906,127.0.0.1,127.0.0.1,FTP,91,"Response: 227 Entering passive mode (127,0,0,1,205,61)."
77.504718,127.0.0.1,127.0.0.1,FTP,50,Request: PASV
